GEOID10,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CBSA,CBSA_Name,TotPop,NatWalkInd,geom_wgs84,State_name,County_name,avg_tract_index,avg_county_index
360610065002,36,061,006500,2,35620,"New York-Newark-Jersey City, NY-NJ-PA",1065,15.0,"MULTIPOLYGON (((-74.00141300032105 40.731064999795024, -74.00012199918491 40.73043200028861, -73.99958400038916 40.730165000585934, -73.99936699958033 40.73005799954877, -74.0004349995398 40.72879399978392, -74.0011900004258 40.729168000023556, -74.00049900027128 40.72998800004237, -74.00102000035187 40.73024599934395, -74.00168399992936 40.73058099941271, -74.00141300032105 40.731064999795024)))",NEW YORK,NEW YORK,12.9,13.03
360610065004,36,061,006500,4,35620,"New York-Newark-Jersey City, NY-NJ-PA",1422,18.333333333333336,"MULTIPOLYGON (((-74.00138999929142 40.727659999874696, -74.0004349995398 40.72879399978392, -73.99967799985637 40.72842299978455, -73.99895499980356 40.72806799952294, -73.99991600006814 40.726934999843955, -74.00063200018647 40.727287000150376, -74.00138999929142 40.727659999874696)))",NEW YORK,NEW YORK,12.9,13.03
360610065005,36,061,006500,5,35620,"New York-Newark-Jersey City, NY-NJ-PA",1154,9.166666666666666,"MULTIPOLYGON (((-74.0004349995398 40.72879399978392, -73.99936699958033 40.73005799954877, -73.99860500000008 40.72968499995947, -73.9978859997675 40.72930999970027, -73.99840000020677 40.72873399966024, -73.99895499980356 40.72806799952294, -73.99967799985637 40.72842299978455, -74.0004349995398 40.72879399978392)))",NEW YORK,NEW YORK,12.9,13.03
360610065003,36,061,006500,3,35620,"New York-Newark-Jersey City, NY-NJ-PA",1000,15.5,"MULTIPOLYGON (((-74.00277199978038 40.72844500009782, -74.00220300075159 40.729654000658556, -74.00213899998292 40.72979599975306, -74.00179699937154 40.730384999435366, -74.00168399992936 40.73058099941271, -74.00102000035187 40.73024599934395, -74.00049900027128 40.72998800004237, -74.0011900004258 40.729168000023556, -74.0004349995398 40.72879399978392, -74.00138999929142 40.727659999874696, -74.00214899969092 40.72803600029522, -74.00280800042425 40.72836500033948, -74.00277199978038 40.72844500009782)))",NEW YORK,NEW YORK,12.9,13.03
360610065001,36,061,006500,1,35620,"New York-Newark-Jersey City, NY-NJ-PA",1782,14.333333333333332,"MULTIPOLYGON (((-74.00095400020895 40.73170600066112, -74.00073500013642 40.73200599997158, -74.00051100005926 40.73231499956577, -74.00006599948529 40.732929000467415, -73.99861199990292 40.7322149997977, -73.99697399982121 40.73140900043833, -73.99556299950508 40.73071499964292, -73.99606299920454 40.73015500009789, -73.99657199993854 40.729552000041316, -73.99735999976227 40.72994100008141, -73.9978859997675 40.72930999970027, -73.99860500000008 40.72968499995947, -73.99936699958033 40.73005799954877, -73.99958400038916 40.730165000585934, -74.00012199918491 40.73043200028861, -74.00141300032105 40.731064999795024, -74.00095400020895 40.73170600066112)))",NEW YORK,NEW YORK,12.9,13.03
